year,month,week,day,building,floor,direction,area,count
2020,10,43,24,mbk,000_g,entrance,lift_tower_5,0
2020,10,43,24,mbk,000_g,entrance,parking,1937
2020,10,43,24,mbk,000_g,entrance,service,836
2020,10,43,24,mbk,000_g,entrance,taxi,867
2020,10,43,24,mbk,000_g,entrance,tokyu,870
2020,10,43,24,mbk,000_g,entrance,tower,159
2020,10,43,24,mbk,000_g,exit,000_tokyu,962
2020,10,43,24,mbk,000_g,exit,001_2nd,5451
2020,10,43,24,mbk,000_g,exit,ground,3017
2020,10,43,24,mbk,000_g,exit,hotel,575
2020,10,43,24,mbk,000_g,exit,lift_10,462
2020,10,43,24,mbk,000_g,exit,lift_11,417
2020,10,43,24,mbk,000_g,exit,lift_12,403
2020,10,43,24,mbk,000_g,exit,lift_13,265
2020,10,43,24,mbk,000_g,exit,lift_14,268
2020,10,43,24,mbk,000_g,exit,lift_15,342
2020,10,43,24,mbk,000_g,exit,lift_16,319
2020,10,43,24,mbk,000_g,exit,lift_17,332
2020,10,43,24,mbk,000_g,exit,lift_18,276
2020,10,43,24,mbk,000_g,exit,lift_19,283
2020,10,43,24,mbk,000_g,exit,lift_tower_1,8
2020,10,43,24,mbk,000_g,exit,lift_tower_2,65
2020,10,43,24,mbk,000_g,exit,lift_tower_3,3
2020,10,43,24,mbk,000_g,exit,lift_tower_4,60
2020,10,43,24,mbk,000_g,exit,lift_tower_5,0
2020,10,43,24,mbk,000_g,exit,parking,1531
2020,10,43,24,mbk,000_g,exit,service,841
2020,10,43,24,mbk,000_g,exit,taxi,795
2020,10,43,24,mbk,000_g,exit,tokyu,542
2020,10,43,24,mbk,000_g,exit,tower,154
2020,10,43,24,mbk,001_2nd,entrance,000_g,5451
2020,10,43,24,mbk,001_2nd,entrance,000_tokyu,1586
2020,10,43,24,mbk,001_2nd,entrance,002_3rd,8142
2020,10,43,24,mbk,001_2nd,entrance,alaart,3691
2020,10,43,24,mbk,001_2nd,entrance,bts,2651
2020,10,43,24,mbk,001_2nd,entrance,hotel,92
2020,10,43,24,mbk,001_2nd,entrance,lift_10,224
2020,10,43,24,mbk,001_2nd,entrance,lift_11,244
2020,10,43,24,mbk,001_2nd,entrance,lift_12,238
2020,10,43,24,mbk,001_2nd,entrance,lift_13,209
2020,10,43,24,mbk,001_2nd,entrance,lift_14,211
2020,10,43,24,mbk,001_2nd,entrance,lift_15,534
2020,10,43,24,mbk,001_2nd,entrance,lift_16,446
2020,10,43,24,mbk,001_2nd,entrance,lift_17,213
2020,10,43,24,mbk,001_2nd,entrance,lift_18,199
2020,10,43,24,mbk,001_2nd,entrance,lift_19,237
2020,10,43,24,mbk,001_2nd,entrance,lift_tower_1,0
2020,10,43,24,mbk,001_2nd,entrance,lift_tower_2,17
2020,10,43,24,mbk,001_2nd,entrance,lift_tower_3,0
2020,10,43,24,mbk,001_2nd,entrance,lift_tower_4,1
2020,10,43,24,mbk,001_2nd,entrance,lift_tower_5,0
2020,10,43,24,mbk,001_2nd,entrance,parking,4274
2020,10,43,24,mbk,001_2nd,entrance,tokyu,1409
2020,10,43,24,mbk,001_2nd,exit,000_g,5369
2020,10,43,24,mbk,001_2nd,exit,000_tokyu,1473
2020,10,43,24,mbk,001_2nd,exit,002_3rd,9091
2020,10,43,24,mbk,001_2nd,exit,alaart,2666
2020,10,43,24,mbk,001_2nd,exit,bts,3405
2020,10,43,24,mbk,001_2nd,exit,hotel,51
2020,10,43,24,mbk,001_2nd,exit,lift_10,175
