year,month,week,day,building,direction,area,count
2020,10,44,29,tokyu,exit,bts,2342
2020,10,44,29,tokyu,exit,ground,642
2020,10,44,29,tokyu,exit,mbk,8212
2020,10,44,29,tower,entrance,lift_tower_1,791
2020,10,44,29,tower,entrance,lift_tower_2,477
2020,10,44,29,tower,entrance,lift_tower_3,535
2020,10,44,29,tower,entrance,lift_tower_4,304
2020,10,44,29,tower,entrance,lift_tower_5,213
2020,10,44,29,tower,exit,lift_tower_1,833
2020,10,44,29,tower,exit,lift_tower_2,455
2020,10,44,29,tower,exit,lift_tower_3,534
2020,10,44,29,tower,exit,lift_tower_4,282
2020,10,44,29,tower,exit,lift_tower_5,157
2020,10,44,30,alaart,entrance,alaart,3655
2020,10,44,30,alaart,exit,alaart,3680
2020,10,44,30,mbk,entrance,alaart,4399
2020,10,44,30,mbk,entrance,bts,6278
2020,10,44,30,mbk,entrance,chula,1981
2020,10,44,30,mbk,entrance,ground,3795
2020,10,44,30,mbk,entrance,hotel,1030
2020,10,44,30,mbk,entrance,parking,14468
2020,10,44,30,mbk,entrance,service,1282
2020,10,44,30,mbk,entrance,taxi,989
2020,10,44,30,mbk,entrance,tokyu,3254
2020,10,44,30,mbk,entrance,tower,258
2020,10,44,30,mbk,exit,alaart,3161
2020,10,44,30,mbk,exit,bts,7835
2020,10,44,30,mbk,exit,chula,1921
2020,10,44,30,mbk,exit,ground,3188
2020,10,44,30,mbk,exit,hotel,876
2020,10,44,30,mbk,exit,parking,15239
2020,10,44,30,mbk,exit,service,1243
2020,10,44,30,mbk,exit,taxi,990
2020,10,44,30,mbk,exit,tokyu,2986
2020,10,44,30,mbk,exit,tower,206
2020,10,44,30,tokyu,entrance,bts,1953
2020,10,44,30,tokyu,entrance,ground,1301
2020,10,44,30,tokyu,entrance,mbk,9368
2020,10,44,30,tokyu,exit,bts,2119
2020,10,44,30,tokyu,exit,ground,867
2020,10,44,30,tokyu,exit,mbk,9442
2020,10,44,30,tower,entrance,lift_tower_1,872
2020,10,44,30,tower,entrance,lift_tower_2,455
2020,10,44,30,tower,entrance,lift_tower_3,554
2020,10,44,30,tower,entrance,lift_tower_4,276
2020,10,44,30,tower,entrance,lift_tower_5,169
2020,10,44,30,tower,exit,lift_tower_1,846
2020,10,44,30,tower,exit,lift_tower_2,488
2020,10,44,30,tower,exit,lift_tower_3,528
2020,10,44,30,tower,exit,lift_tower_4,282
2020,10,44,30,tower,exit,lift_tower_5,128
2020,10,44,31,alaart,entrance,alaart,4363
2020,10,44,31,alaart,exit,alaart,4310
2020,10,44,31,mbk,entrance,alaart,5529
2020,10,44,31,mbk,entrance,bts,7588
2020,10,44,31,mbk,entrance,chula,1756
2020,10,44,31,mbk,entrance,ground,5842
2020,10,44,31,mbk,entrance,hotel,864
2020,10,44,31,mbk,entrance,parking,14651
2020,10,44,31,mbk,entrance,service,1195
2020,10,44,31,mbk,entrance,taxi,1046
2020,10,44,31,mbk,entrance,tokyu,5024
2020,10,44,31,mbk,entrance,tower,101
2020,10,44,31,mbk,exit,alaart,3732
2020,10,44,31,mbk,exit,bts,9691
2020,10,44,31,mbk,exit,chula,1668
2020,10,44,31,mbk,exit,ground,6318
2020,10,44,31,mbk,exit,hotel,745
2020,10,44,31,mbk,exit,parking,15109
2020,10,44,31,mbk,exit,service,1158
2020,10,44,31,mbk,exit,taxi,1026
2020,10,44,31,mbk,exit,tokyu,4311
2020,10,44,31,mbk,exit,tower,86
2020,10,44,31,tokyu,entrance,bts,2612
2020,10,44,31,tokyu,entrance,ground,2412
2020,10,44,31,tokyu,entrance,mbk,11340
2020,10,44,31,tokyu,exit,bts,2759
2020,10,44,31,tokyu,exit,ground,1552
2020,10,44,31,tokyu,exit,mbk,12007
2020,10,44,31,tower,entrance,lift_tower_1,33
2020,10,44,31,tower,entrance,lift_tower_2,104
2020,10,44,31,tower,entrance,lift_tower_3,7
2020,10,44,31,tower,entrance,lift_tower_4,175
2020,10,44,31,tower,entrance,lift_tower_5,0
2020,10,44,31,tower,exit,lift_tower_1,41
2020,10,44,31,tower,exit,lift_tower_2,100
2020,10,44,31,tower,exit,lift_tower_3,7
2020,10,44,31,tower,exit,lift_tower_4,178
2020,10,44,31,tower,exit,lift_tower_5,0
