year,month,week,day,building,floor,zone,direction,area,count
2020,10,43,23,mbk,002_3rd,3d,entrance,chula,1333
2020,10,43,23,mbk,002_3rd,3d,entrance,lift_10,115
2020,10,43,23,mbk,002_3rd,3d,entrance,lift_11,182
2020,10,43,23,mbk,002_3rd,3d,entrance,lift_12,166
2020,10,43,23,mbk,002_3rd,3d,entrance,parking,14
2020,10,43,23,mbk,002_3rd,3d,exit,2c,2293
2020,10,43,23,mbk,002_3rd,3d,exit,2d,816
2020,10,43,23,mbk,002_3rd,3d,exit,3c,3504
2020,10,43,23,mbk,002_3rd,3d,exit,4d,845
2020,10,43,23,mbk,002_3rd,3d,exit,chula,1378
2020,10,43,23,mbk,002_3rd,3d,exit,lift_10,189
2020,10,43,23,mbk,002_3rd,3d,exit,lift_11,159
2020,10,43,23,mbk,002_3rd,3d,exit,lift_12,161
2020,10,43,23,mbk,002_3rd,3d,exit,parking,11
2020,10,43,23,mbk,003_4th,4a,entrance,3a,1996
2020,10,43,23,mbk,003_4th,4a,entrance,4b,6310
2020,10,43,23,mbk,003_4th,4a,entrance,parking,9
2020,10,43,23,mbk,003_4th,4a,entrance,tokyu,1736
2020,10,43,23,mbk,003_4th,4a,exit,3a,1606
2020,10,43,23,mbk,003_4th,4a,exit,4b,6379
2020,10,43,23,mbk,003_4th,4a,exit,parking,19
2020,10,43,23,mbk,003_4th,4a,exit,tokyu,1680
2020,10,43,23,mbk,003_4th,4b,entrance,3b,3314
2020,10,43,23,mbk,003_4th,4b,entrance,4a,6379
2020,10,43,23,mbk,003_4th,4b,entrance,4c,5622
2020,10,43,23,mbk,003_4th,4b,entrance,5b,4049
2020,10,43,23,mbk,003_4th,4b,entrance,lift_18,180
2020,10,43,23,mbk,003_4th,4b,entrance,lift_19,161
2020,10,43,23,mbk,003_4th,4b,entrance,parking,640
2020,10,43,23,mbk,003_4th,4b,exit,3b,3981
2020,10,43,23,mbk,003_4th,4b,exit,4a,6310
2020,10,43,23,mbk,003_4th,4b,exit,4c,5139
2020,10,43,23,mbk,003_4th,4b,exit,5b,3477
2020,10,43,23,mbk,003_4th,4b,exit,lift_18,274
2020,10,43,23,mbk,003_4th,4b,exit,lift_19,260
2020,10,43,23,mbk,003_4th,4b,exit,parking,867
2020,10,43,23,mbk,003_4th,4c,entrance,3b,1860
2020,10,43,23,mbk,003_4th,4c,entrance,3c,1588
2020,10,43,23,mbk,003_4th,4c,entrance,4b,5139
2020,10,43,23,mbk,003_4th,4c,entrance,4d,5907
2020,10,43,23,mbk,003_4th,4c,entrance,5c,1496
2020,10,43,23,mbk,003_4th,4c,entrance,lift_13,156
2020,10,43,23,mbk,003_4th,4c,entrance,lift_14,189
2020,10,43,23,mbk,003_4th,4c,entrance,lift_15,344
